Kandidátní listina.číslo;Kandidátní listina.název;Všechny kraje;Hlavní město Praha;Středo­český kraj;Jiho­český kraj;Plzeň­ský kraj;Karlo­varský kraj;Ústecký kraj;Libe­recký kraj;Králové­hradecký kraj;Pardu­bický kraj;Kraj Vyso­čina;Jihomo­ravský kraj;Olo­moucký kraj;Zlínský kraj;Moravsko­slezský kraj
Všechny kandidátní listiny​;;4462;522;466;276;262;182;312;214;253;236;230;465;302;283;459
1;Rebelové​;29;6;6;7;;;;5;;;;;;;5
2;MZH​;83;;;;;;;;;;;34;16;16;17
3;JaSaN​;161;12;17;5;18;14;9;6;6;17;7;16;6;8;20
4;VÝZVA​;178;22;22;10;7;7;13;13;9;10;12;18;9;9;17
5;SMSka​;48;3;3;3;3;3;3;2;4;4;3;4;5;4;4
6;SPD​;343;36;34;22;20;14;26;17;20;19;20;34;23;22;36
7;ČSSD​;333;35;33;21;20;14;25;17;20;19;20;32;23;18;36
8;PŘÍSAHA​;343;36;34;22;20;14;26;17;20;19;20;34;23;22;36
9;Levice​;100;15;11;9;4;4;5;5;5;4;4;12;6;4;12
10;ČR1​;271;24;29;13;18;13;26;15;20;17;14;22;19;18;23
11;SPOLU​;341;36;34;22;20;14;26;17;20;19;20;32;23;22;36
12;Švýcarská dem.​;57;5;5;4;3;4;7;;;3;;5;5;7;9
13;Nevolte Urza.cz​;1;1;;;;;;;;;;;;;
14;HOP Hydra​;15;1;1;1;1;1;1;1;1;1;1;2;1;1;1
15;Generace​;53;9;9;6;1;2;4;2;4;1;2;4;2;3;4
16;Piráti​;343;36;34;22;20;14;26;17;20;19;20;34;23;22;36
17;Koruna Česká​;143;13;16;12;20;;;;17;;;15;23;15;12
18;Volt​;95;20;17;6;3;3;4;7;3;4;3;13;3;2;7
19;PB​;25;25;;;;;;;;;;;;;
20;AUTO​;340;36;34;22;20;14;26;17;20;19;20;34;20;22;36
21;BPS​;12;12;;;;;;;;;;;;;
22;ANO​;342;36;34;22;20;14;26;17;20;19;20;34;23;21;36
23;STAN​;343;36;34;22;20;14;26;17;20;19;20;34;23;22;36
24;Kruh​;47;19;18;;;;;;;;;10;;;
25;Stačilo!​;342;35;34;22;20;14;26;17;20;19;20;34;23;22;36
26;Voluntia​;74;13;7;3;4;5;7;5;4;4;4;8;3;3;4
